	YW1	YW2	YW3	YW4	YW5	YW6	YW7	YW8
ENSG00000011566	1415	1534	2003	2093	1197	1447	1811	1535
ENSG00000011590	2	1	0	0	0	0	0	0
ENSG00000011600	0	0	0	0	0	0	0	0
ENSG00000011638	121	135	170	192	118	123	136	142
ENSG00000011677	0	0	0	0	0	0	1	0
ENSG00000012048	4572	5141	6437	6662	3123	4319	5909	4829
ENSG00000012061	1195	1209	1408	1538	1063	1191	1231	1339
ENSG00000012124	4	8	2	5	1	6	2	2
ENSG00000012171	131	205	164	317	94	121	162	165
ENSG00000012174	1781	2063	2527	2837	1521	2003	2395	2031
ENSG00000012211	410	402	421	485	260	432	333	398
ENSG00000012223	2	2	1	0	0	1	0	0
ENSG00000012232	4245	3886	4618	5227	2802	4281	4387	4580
ENSG00000012504	0	0	1	0	0	0	1	0
ENSG00000012660	3050	3426	4471	4742	2776	3404	4011	3468
ENSG00000012779	205	240	237	354	147	188	193	269
ENSG00000012817	0	0	0	0	0	0	0	0
ENSG00000012822	937	1075	1277	1535	648	884	1023	1022
ENSG00000012963	362	372	529	504	244	347	466	389
ENSG00000012983	2713	3077	4330	4256	2415	3059	3693	3243
ENSG00000013016	726	648	875	923	489	768	806	814
ENSG00000013275	3662	2964	3965	3949	2888	3570	3646	3671
ENSG00000013288	400	365	432	469	238	404	360	417
ENSG00000013293	0	0	0	1	0	0	0	0
ENSG00000013297	5	3	1	5	1	3	1	1
ENSG00000013306	7282	5913	7010	8249	6132	7309	6977	7800
ENSG00000013364	74	89	88	106	78	67	68	87
ENSG00000013374	2772	2809	3554	3904	2655	2829	3338	2990
ENSG00000013375	3090	3235	4424	4457	2510	3212	3919	3301
ENSG00000013392	368	436	475	451	304	383	440	402
ENSG00000013441	1509	1764	2623	2513	1758	1824	2302	1877
ENSG00000013503	1542	1547	2018	2060	1180	1520	1877	1680
ENSG00000013523	1663	1704	1938	2384	1149	1767	1815	1832
ENSG00000013561	1363	1331	1776	1891	1325	1486	1635	1567
ENSG00000013563	855	944	919	1114	647	859	834	884
ENSG00000013573	5616	5618	7117	8306	4544	5626	6066	6338
ENSG00000013583	1035	1033	1172	1366	1007	1089	1083	1021
ENSG00000013588	893	819	974	1079	642	887	856	853
ENSG00000013619	142	180	163	178	86	149	136	163
ENSG00000013725	1	0	0	0	0	0	1	0
ENSG00000013810	7765	6891	8581	9235	6546	7789	8099	8255
ENSG00000014123	1884	2289	3086	3335	1707	2030	2820	2259
ENSG00000014138	213	243	288	287	208	285	206	248
ENSG00000014164	1119	838	894	1116	658	1022	984	1084
ENSG00000014216	3561	3275	3720	4469	2633	3515	3519	3735
ENSG00000014257	52	54	52	57	38	61	57	59
ENSG00000014641	5554	5740	7033	7657	5541	5984	6880	6063
ENSG00000014824	3517	3900	4876	5476	2933	3767	4516	3782
ENSG00000014914	112	166	164	236	94	124	143	127
ENSG00000014919	746	815	1052	1227	703	836	968	827
ENSG00000015133	1605	1528	1872	2037	898	1454	1724	1775
ENSG00000015153	810	886	1135	1217	892	900	1082	911
ENSG00000015171	1892	2210	2951	2896	1612	2080	2546	2217
ENSG00000015285	51	35	49	43	38	37	38	37
ENSG00000015413	7	3	8	9	6	9	8	5
ENSG00000015475	1431	1320	1538	1673	1181	1459	1453	1540
ENSG00000015479	116	155	215	221	92	145	157	155
ENSG00000015520	32	40	33	63	26	34	24	41
ENSG00000015532	1663	1616	1858	2210	1245	1729	1740	1737
ENSG00000015568	17	16	25	30	19	17	14	11
ENSG00000015592	3	4	12	9	3	10	7	2
ENSG00000015676	3132	2929	3549	4064	2532	3174	3333	3354
ENSG00000016082	262	251	346	364	261	297	315	288
ENSG00000016391	1878	1912	2241	2504	1311	1824	1959	2137
ENSG00000016402	0	0	0	0	0	0	0	0
ENSG00000016490	0	0	0	0	2	0	0	0
ENSG00000016602	0	0	0	0	0	0	0	0
ENSG00000016864	1647	1826	2192	2267	1571	1805	1942	1823
ENSG00000017260	3702	3991	5254	5829	3139	3897	4693	4058
ENSG00000017427	0	2	1	4	2	0	1	2
ENSG00000017483	11	18	17	30	14	11	11	3
ENSG00000017797	3110	3207	4030	4104	2665	3035	3817	3246
ENSG00000018189	1774	2295	2990	3166	1608	2158	2463	2185
ENSG00000018236	809	1140	1359	1574	650	869	1154	920
ENSG00000018280	3	5	4	6	1	2	4	6
ENSG00000018408	1007	1159	1318	1450	872	977	1237	1119
ENSG00000018510	4217	4692	6468	6066	3760	4633	5882	4901
ENSG00000018607	1	1	8	6	0	0	2	1
ENSG00000018610	1316	1252	1566	1469	1242	1318	1326	1329
ENSG00000018625	3	5	2	6	0	6	3	5
ENSG00000018699	1621	1427	2096	2011	1300	1733	1905	1681
ENSG00000018869	139	159	216	206	147	167	193	176
ENSG00000019102	0	0	2	0	2	1	1	2
ENSG00000019144	1343	1443	1610	1891	898	1359	1408	1436
ENSG00000019169	0	1	0	0	0	0	0	0
ENSG00000019186	3	5	5	3	2	5	4	1
ENSG00000019485	485	429	513	578	283	469	465	487
ENSG00000019505	56	60	80	103	47	59	64	72
ENSG00000019549	712	856	1090	1078	772	847	1021	861
ENSG00000019582	13	12	18	12	4	6	10	15
ENSG00000019991	14	31	32	39	10	21	18	19
ENSG00000019995	1365	1460	1925	2078	1283	1350	1662	1483
ENSG00000020129	3535	2845	3509	4002	2488	3711	3492	3856
ENSG00000020181	920	1086	1045	1348	662	981	1033	1090
ENSG00000020219	1	0	0	0	0	0	1	0
ENSG00000020256	1983	1832	1995	2336	1532	1994	1967	2042
ENSG00000020426	818	854	1117	1192	883	906	1050	871
ENSG00000020577	858	961	1226	1291	599	935	1080	984
ENSG00000020633	165	174	189	238	160	165	167	205
ENSG00000020922	3480	4234	5676	5901	3248	3876	4909	4091
ENSG00000021300	472	483	488	729	339	502	479	477
ENSG00000021355	423	557	639	707	402	507	534	494
ENSG00000021461	0	0	3	0	0	1	0	0
ENSG00000021488	1	2	4	9	3	0	3	1
ENSG00000021574	1395	1336	1762	1857	1288	1523	1848	1513
ENSG00000021645	8	10	13	18	5	3	3	7
ENSG00000021762	713	710	829	1092	516	688	755	849
ENSG00000021776	2339	2444	3477	3336	1552	2459	3085	2628
ENSG00000021826	491	626	815	1014	337	525	611	535
ENSG00000021852	1	0	2	1	0	0	0	0
ENSG00000022267	7518	9101	9903	12054	6605	7976	8656	8574
ENSG00000022277	1347	1212	1644	1530	1140	1650	1482	1455
ENSG00000022355	0	0	0	0	0	0	0	0
ENSG00000022556	0	0	0	0	0	0	0	0
ENSG00000022567	518	403	476	608	321	485	426	522
ENSG00000022840	4630	4312	5357	5591	3601	4566	4777	4774
ENSG00000022976	945	1007	1242	1344	904	1026	1036	1124
ENSG00000023041	1504	1570	2259	2221	1516	1667	1867	1738
ENSG00000023171	1019	1062	1356	1448	704	1150	1156	1252
ENSG00000023191	3080	2335	2575	3265	2387	3016	2642	3110
ENSG00000023228	3506	3440	4740	4636	2672	3636	4270	3757
ENSG00000023287	3267	3880	5353	5717	2741	3472	4731	3861
ENSG00000023318	1484	1517	2032	1961	1406	1670	1909	1628
ENSG00000023330	1551	1586	1804	1852	1140	1668	1632	1769
ENSG00000023445	37	61	68	96	21	50	49	45
ENSG00000023516	1531	1789	2483	2493	1006	1583	2198	1756
ENSG00000023572	723	738	1019	862	636	858	860	800
ENSG00000023608	233	250	282	335	257	265	330	240
